round,category,operation,inner_iterations,mean_us
12,hash_path,Merkle-style hash-path update N=500,1000,7.5123
12,hash_path,Merkle-style hash-path lookup N=1000,1000,6.323300000000001
12,hash_path,Merkle-style hash-path update N=1000,1000,7.593100000000001
13,crypto,SHA-256 (256 B),2000,1.13435
13,crypto,HMAC-SHA256 (256 B),2000,1.65655
13,crypto,AES-128-GCM encrypt (256 B),2000,0.6567000000000001
13,crypto,AES-128-GCM decrypt (256 B),2000,0.60445
13,crypto,ECDSA-P256 sign,300,18.828666666666667
13,crypto,ECDSA-P256 verify,300,50.398
13,crypto,ECDH-P256 shared secret,300,37.217666666666666
13,crypto,ECC-P256 key generation,80,11.79125
13,crypto,X25519 shared secret,600,22.866
13,crypto,RSA-2048 sign,50,435.296
13,crypto,RSA-2048 verify,300,19.631666666666668
13,hash_path,Merkle-style hash-path lookup N=1,1000,0.9261
13,hash_path,Merkle-style hash-path update N=1,1000,2.3436
13,hash_path,Merkle-style hash-path lookup N=10,1000,2.7441999999999998
13,hash_path,Merkle-style hash-path update N=10,1000,4.0451
13,hash_path,Merkle-style hash-path lookup N=50,1000,4.2833000000000006
13,hash_path,Merkle-style hash-path update N=50,1000,5.3753
13,hash_path,Merkle-style hash-path lookup N=100,1000,4.5978
13,hash_path,Merkle-style hash-path update N=100,1000,6.2684
13,hash_path,Merkle-style hash-path lookup N=200,1000,5.0563
13,hash_path,Merkle-style hash-path update N=200,1000,6.8101
13,hash_path,Merkle-style hash-path lookup N=500,1000,6.1388
13,hash_path,Merkle-style hash-path update N=500,1000,7.1587
13,hash_path,Merkle-style hash-path lookup N=1000,1000,6.2433000000000005
13,hash_path,Merkle-style hash-path update N=1000,1000,7.725
14,crypto,SHA-256 (256 B),2000,1.11785
14,crypto,HMAC-SHA256 (256 B),2000,1.62595
14,crypto,AES-128-GCM encrypt (256 B),2000,0.62505
14,crypto,AES-128-GCM decrypt (256 B),2000,0.62385
14,crypto,ECDSA-P256 sign,300,19.217
14,crypto,ECDSA-P256 verify,300,50.24633333333333
14,crypto,ECDH-P256 shared secret,300,37.788666666666664
14,crypto,ECC-P256 key generation,80,12.12875
14,crypto,X25519 shared secret,600,22.89966666666667
14,crypto,RSA-2048 sign,50,409.844
14,crypto,RSA-2048 verify,300,16.933333333333334
14,hash_path,Merkle-style hash-path lookup N=1,1000,0.8135
14,hash_path,Merkle-style hash-path update N=1,1000,2.1247
14,hash_path,Merkle-style hash-path lookup N=10,1000,2.6335
14,hash_path,Merkle-style hash-path update N=10,1000,4.1845
14,hash_path,Merkle-style hash-path lookup N=50,1000,4.0294
14,hash_path,Merkle-style hash-path update N=50,1000,5.5127
14,hash_path,Merkle-style hash-path lookup N=100,1000,4.6549
14,hash_path,Merkle-style hash-path update N=100,1000,6.1837
14,hash_path,Merkle-style hash-path lookup N=200,1000,5.2686
14,hash_path,Merkle-style hash-path update N=200,1000,6.846100000000001
14,hash_path,Merkle-style hash-path lookup N=500,1000,5.9111
14,hash_path,Merkle-style hash-path update N=500,1000,7.915100000000001
14,hash_path,Merkle-style hash-path lookup N=1000,1000,6.4909
14,hash_path,Merkle-style hash-path update N=1000,1000,8.1265
15,crypto,SHA-256 (256 B),2000,1.17045
15,crypto,HMAC-SHA256 (256 B),2000,1.7499500000000001
15,crypto,AES-128-GCM encrypt (256 B),2000,0.60475
15,crypto,AES-128-GCM decrypt (256 B),2000,0.64295
15,crypto,ECDSA-P256 sign,300,21.289
15,crypto,ECDSA-P256 verify,300,50.353
15,crypto,ECDH-P256 shared secret,300,36.551
15,crypto,ECC-P256 key generation,80,12.16375
15,crypto,X25519 shared secret,600,22.5915
15,crypto,RSA-2048 sign,50,414.354
15,crypto,RSA-2048 verify,300,19.31533333333333
15,hash_path,Merkle-style hash-path lookup N=1,1000,0.9072
15,hash_path,Merkle-style hash-path update N=1,1000,2.1705
15,hash_path,Merkle-style hash-path lookup N=10,1000,2.6677
15,hash_path,Merkle-style hash-path update N=10,1000,4.1511000000000005
15,hash_path,Merkle-style hash-path lookup N=50,1000,4.2379
15,hash_path,Merkle-style hash-path update N=50,1000,6.2814
15,hash_path,Merkle-style hash-path lookup N=100,1000,4.9554
15,hash_path,Merkle-style hash-path update N=100,1000,6.3628
15,hash_path,Merkle-style hash-path lookup N=200,1000,5.0868
15,hash_path,Merkle-style hash-path update N=200,1000,6.5375
15,hash_path,Merkle-style hash-path lookup N=500,1000,6.4669
15,hash_path,Merkle-style hash-path update N=500,1000,7.4375
15,hash_path,Merkle-style hash-path lookup N=1000,1000,6.3973
15,hash_path,Merkle-style hash-path update N=1000,1000,8.410200000000001
16,crypto,SHA-256 (256 B),2000,1.137
16,crypto,HMAC-SHA256 (256 B),2000,1.7754
16,crypto,AES-128-GCM encrypt (256 B),2000,0.6432
16,crypto,AES-128-GCM decrypt (256 B),2000,1.15825
16,crypto,ECDSA-P256 sign,300,20.363
16,crypto,ECDSA-P256 verify,300,51.963
